locus_tag	name	type	description	functional	strand	rbs_start	rbs_stop	start_position	stop_position	tblist_regulon	tblist_operon	tu_id	functional_category
Rv0054	ssb	CDS	Single-strand binding protein Ssb (helix-destabilizing protein)		+	58575	58582	58586	59080	Predicted to be in the RelA|Rv2583c regulon (See Dahl et al., 2003).		TU0036	information pathways
Rv0055	rpsR1	CDS	30S ribosomal protein S18-1 RpsR1		+			59122	59376	Predicted to be in the RelA|Rv2583c regulon (See Dahl et al., 2003).		TU0037	information pathways
Rv0056	rplI	CDS	50S ribosomal protein L9 RplI		+	59390	59395	59409	59867			TU0037	information pathways
Rv0057	Rv0057	CDS	Hypothetical protein		+			59896	60417			TU0037	conserved hypotheticals	Prediction based on GO and InterPro: information pathways (See Mazandu and Mulder, 2012)
Rv0058	dnaB	CDS	Probable replicative DNA helicase DnaB		+	60381	60386	60396	63020	Predicted to be in the RelA|Rv2583c regulon (See Dahl et al., 2003).		TU0037	information pathways
Rv0059	Rv0059	CDS	Hypothetical protein		+			63200	63892			TU0038	conserved hypotheticals	Prediction based on GO and InterPro: information pathways (See Mazandu and Mulder, 2012)
Rv0060	Rv0060	CDS	Conserved hypothetical protein		+	63899	63904	63909	64967			TU0038	conserved hypotheticals	Prediction based on GO and InterPro: information pathways (See Mazandu and Mulder, 2012)
Rv0061c	Rv0061c	CDS	Hypothetical protein		-			65012	65350				conserved hypotheticals
Rv0062	celA1	CDS	Possible cellulase CelA1 (endoglucanase) (endo-1,4-beta-glucanase) (FI-cmcase) (carboxymethyl cellulase)		+			65552	66694			TU0039	intermediary metabolism and respiration
Rv0063	Rv0063	CDS	Possible oxidoreductase		+	66912	66915	66923	68362			TU0040	intermediary metabolism and respiration
Rv0064	Rv0064	CDS	Probable conserved transmembrane protein		+	68609	68614	68620	71559			TU0041	cell wall and cell processes
Rv0064A	vapB1	CDS	Possible antitoxin VapB1		+			71589	71828				virulence, detoxification, adaptation
Rv0065	vapC1	CDS	Possible toxin VapC1		+	71810	71813	71821	72222			TU0042	virulence, detoxification, adaptation
Rv0066c	icd2	CDS	Probable isocitrate dehydrogenase [NADP] Icd2 (oxalosuccinate decarboxylase) (IDH) (NADP+-specific ICDH) (IDP)		-	74518	74521	72274	74511			TU0043	intermediary metabolism and respiration
Rv0067c	Rv0067c	CDS	Possible transcriptional regulatory protein (possibly TetR-family)		-			74629	75198			TU0044	regulatory proteins
Rv0068	Rv0068	CDS	Probable oxidoreductase		+	75291	75295	75301	76212			TU0045	intermediary metabolism and respiration
Rv0069c	sdaA	CDS	Probable L-serine dehydratase SdaA (L-serine deaminase) (SDH) (L-SD)		-			76237	77622			TU0046	intermediary metabolism and respiration
Rv0070c	glyA2	CDS	Serine hydroxymethyltransferase GlyA2 (serine methylase 2) (SHMT 2)		-			77619	78896			TU0046	intermediary metabolism and respiration
Rv0071	Rv0071	CDS	Possible maturase		+			79486	80193			TU0047	information pathways
Rv0072	Rv0072	CDS	Probable glutamine-transport transmembrane protein ABC transporter		+			80624	81673			TU0048	cell wall and cell processes
Rv0073	Rv0073	CDS	Probable glutamine-transport ATP-binding protein ABC transporter		+	81662	81667	81676	82668			TU0048	cell wall and cell processes
Rv0074	Rv0074	CDS	Conserved protein		+	82733	82738	82748	83983			TU0049	conserved hypotheticals	Prediction based on GO and InterPro: intermediary metabolism and respiration (See Mazandu and Mulder, 2012)
Rv0075	Rv0075	CDS	Probable aminotransferase		+			83996	85168			TU0049	intermediary metabolism and respiration
Rv0076c	Rv0076c	CDS	Probable membrane protein		-			85183	85572			TU0050	cell wall and cell processes
Rv0077c	Rv0077c	CDS	Probable oxidoreductase		-	86473	86477	85636	86466			TU0051	intermediary metabolism and respiration
Rv0078	Rv0078	CDS	Probable transcriptional regulatory protein		+			86528	87133			TU0052	regulatory proteins
Rv0078A	Rv0078A	CDS	Hypothetical protein		-			87208	87801			TU0053	conserved hypotheticals
Rv0078B	Rv0078B	CDS	Conserved protein		-			87798	88004				conserved hypotheticals
Rv0079	Rv0079	CDS	Unknown protein		+			88204	89025	Predicted to be in the DosR|Rv3133c regulon, in M. tuberculosis 1254 (See Voskuil et al., 2003).		TU0054	conserved hypotheticals	Prediction based on GO and InterPro: intermediary metabolism and respiration (See Mazandu and Mulder, 2012)
Rv0080	Rv0080	CDS	Conserved hypothetical protein		+			89022	89480	Predicted to be in the DosR|Rv3133c regulon, in M. tuberculosis 1254 (See Voskuil et al., 2003).		TU0054	conserved hypotheticals
Rv0081	Rv0081	CDS	Probable transcriptional regulatory protein		+	89565	89569	89575	89919	Predicted to be in the DosR|Rv3133c regulon, in M. tuberculosis 1254 (See Voskuil et al., 2003).		TU0055	regulatory proteins
Rv0082	Rv0082	CDS	Probable oxidoreductase		+			89924	90403			TU0055	intermediary metabolism and respiration
Rv0083	Rv0083	CDS	Probable oxidoreductase		+			90400	92322			TU0055	intermediary metabolism and respiration
Rv0084	hycD	CDS	Possible formate hydrogenlyase HycD (FHL)		+			92328	93278			TU0055	intermediary metabolism and respiration
Rv0085	hycP	CDS	Possible hydrogenase HycP		+			93289	93951			TU0055	intermediary metabolism and respiration
Rv0086	hycQ	CDS	Possible hydrogenase HycQ		+			93951	95417			TU0055	intermediary metabolism and respiration
Rv0087	hycE	CDS	Possible formate hydrogenase HycE (FHL)		+			95414	96892			TU0055	intermediary metabolism and respiration
Rv0088	Rv0088	CDS	Possible polyketide cyclase/dehydrase		+			96927	97601			TU0055	lipid metabolism
Rv0089	Rv0089	CDS	Possible methyltransferase/methylase		+			97758	98351			TU0056	intermediary metabolism and respiration
Rv0090	Rv0090	CDS	Possible membrane protein		+	98469	98474	98480	99250			TU0057	cell wall and cell processes
Rv0091	mtn	CDS	Probable bifunctional MTA/SAH nucleosidase Mtn: 5'-methylthioadenosine nucleosidase (methylthioadenosine methylthioribohydrolase) + S-adenosylhomocysteine nucleosidase (S-adenosyl-L-homocysteine homocysteinylribohydrolase)		+			99684	100451			TU0058	intermediary metabolism and respiration
Rv0092	ctpA	CDS	Cation transporter P-type ATPase a CtpA		+	100572	100575	100583	102868			TU0059	cell wall and cell processes
Rv0093c	Rv0093c	CDS	Probable conserved membrane protein		-			102815	103663			TU0060	cell wall and cell processes
Rv0094c	Rv0094c	CDS	Conserved hypothetical protein		-			103710	104663			TU0061	insertion seqs and phages
Rv0095c	Rv0095c	CDS	Conserved hypothetical protein		-			104805	105215	ChIP-chip indicates SigC|Rv2069 binds to the intergenic upstream region (See Rodrigue et al., 2007).		TU0062	insertion seqs and phages
Rv0096	PPE1	CDS	PPE family protein PPE1		+			105324	106715	Predicted to be in the SenX3|Rv0490-RegX3|Rv0491 regulon (See Parish et al., 2003). ChIP-chip indicates SigC|Rv2069 binds to the intergenic upstream region (See Rodrigue et al., 2007).		TU0063	PE/PPE	Prediction based on GO and InterPro: cell wall and cell processes (See Mazandu and Mulder, 2012)
Rv0097	Rv0097	CDS	Possible oxidoreductase		+	106718	106723	106734	107603	Predicted to be in the SenX3|Rv0490-RegX3|Rv0491 regulon (See Parish et al., 2003).		TU0063	intermediary metabolism and respiration
Rv0098	fcoT	CDS	Probable fatty acyl CoA thioesterase type III FcoT		+			107600	108151	Predicted to be in the SenX3|Rv0490-RegX3|Rv0491 regulon (See Parish et al., 2003).		TU0063	lipid metabolism
Rv0099	fadD10	CDS	Possible fatty-acid-CoA ligase FadD10 (fatty-acid-CoA synthetase) (fatty-acid-CoA synthase)		+			108156	109778			TU0063	lipid metabolism
Rv0100	Rv0100	CDS	Conserved hypothetical protein		+			109783	110019			TU0063	conserved hypotheticals	Prediction based on GO and InterPro: lipid metabolism (See Mazandu and Mulder, 2012)
Rv0101	nrp	CDS	Probable peptide synthetase Nrp (peptide synthase)		+	109992	109996	110001	117539	Predicted to be in the SenX3|Rv0490-RegX3|Rv0491 regulon (See Parish et al., 2003).		TU0063	lipid metabolism
Rv0102	Rv0102	CDS	Probable conserved integral membrane protein		+			117714	119699			TU0064	cell wall and cell processes
Rv0103c	ctpB	CDS	Probable cation-transporter P-type ATPase B CtpB		-			119915	122173	Predicted to be in the SenX3|Rv0490-RegX3|Rv0491 regulon (See Parish et al., 2003). ChIP-chip indicates SigC|Rv2069 binds to the intergenic upstream region (See Rodrigue et al., 2007).		TU0065	cell wall and cell processes
Rv0104	Rv0104	CDS	Conserved hypothetical protein		+			122317	123831	ChIP-chip indicates SigC|Rv2069 binds to the intergenic upstream region (See Rodrigue et al., 2007).		TU0066	conserved hypotheticals	Prediction based on GO and InterPro: intermediary metabolism and respiration (See Mazandu and Mulder, 2012)
Rv0105c	rpmB1	CDS	50S ribosomal protein L28-1 RpmB1		-	124270	124276	123980	124264	Predicted to be in the IdeR|Rv2711 regulon (See Gold et al., 2001). Predicted to be in the Zur|Rv2359 regulon (See Maciag et al., 2007).		TU0067	information pathways
Rv0106	Rv0106	CDS	Conserved hypothetical protein		+			124374	125570	Predicted to be in the IdeR|Rv2711 regulon (See Gold et al., 2001). Predicted to be in the Zur|Rv2359 regulon (See Maciag et al., 2007).		TU0068	conserved hypotheticals	Prediction based on GO and InterPro: information pathways (See Mazandu and Mulder, 2012)
Rv0107c	ctpI	CDS	Probable cation-transporter ATPase I CtpI		-			125643	130541			TU0069	cell wall and cell processes
Rv0108c	Rv0108c	CDS	Hypothetical protein		-	131372	131375	130895	131104	Predicted to be in the SigC|Rv2069 regulon, in M. tuberculosis CDC1551 (See Sun et al., 2004).		TU0070	conserved hypotheticals
Rv0109	PE_PGRS1	CDS	PE-PGRS family protein PE_PGRS1		+			131382	132872			TU0071	PE/PPE
Rv0110	Rv0110	CDS	Probable conserved integral membrane protein		+			133020	133769			TU0072	cell wall and cell processes
Rv0111	Rv0111	CDS	Possible transmembrane acyltransferase		+			133950	136007			TU0073	intermediary metabolism and respiration
Rv0112	gca	CDS	Possible GDP-mannose 4,6-dehydratase Gca (GDP-D-mannose dehydratase)		+	136278	136281	136289	137245			TU0074	cell wall and cell processes
Rv0113	gmhA	CDS	Probable sedoheptulose-7-phosphate isomerase GmhA (phosphoheptose isomerase)		+			137319	137909			TU0075	cell wall and cell processes
Rv0114	gmhB	CDS	Possible D-alpha,beta-D-heptose-1,7-biphosphate phosphatase GmhB (D-glycero-D-manno-heptose 7-phosphate kinase)		+			137941	138513	Predicted to be in the IdeR|Rv2711 regulon (See Gold et al., 2001; Prakash et al., 2005). ChIP-chip indicates SigK|Rv0445c binds to the intergenic upstream region (See Rodrigue et al., 2007).		TU0075	cell wall and cell processes
Rv0115	hddA	CDS	Possible D-alpha-D-heptose-7-phosphate kinase HddA		+	138498	138503	138513	139673			TU0075	cell wall and cell processes
Rv0116c	ldtA	CDS	Probable L,D-transpeptidase LdtA		-	141032	141036	140267	141022			TU0076	cell wall and cell processes
Rv0117	oxyS	CDS	Oxidative stress response regulatory protein OxyS		+	141189	141194	141200	142144			TU0077	regulatory proteins
Rv0118c	oxcA	CDS	Probable oxalyl-CoA decarboxylase OxcA		-			142128	143876			TU0078	intermediary metabolism and respiration
Rv0119	fadD7	CDS	Probable fatty-acid-CoA ligase FadD7 (fatty-acid-CoA synthetase) (fatty-acid-CoA synthase)		+	144035	144040	144049	145626			TU0079	lipid metabolism
Rv0120c	fusA2	CDS	Probable elongation factor G FusA2 (EF-G)		-			145627	147771	Predicted to be in the RelA|Rv2583c regulon (See Dahl et al., 2003).		TU0080	information pathways
Rv0121c	Rv0121c	CDS	Conserved protein		-	148351	148353	147908	148342			TU0081	conserved hypotheticals
Rv0122	Rv0122	CDS	Hypothetical protein		+	148484	148487	148491	148859			TU0082	conserved hypotheticals
Rv0123	Rv0123	CDS	Unknown protein		+	148842	148847	148856	149224			TU0082	conserved hypotheticals
Rv0124	PE_PGRS2	CDS	PE-PGRS family protein PE_PGRS2		+	149522	149526	149533	150996			TU0083	PE/PPE
Rv0125	pepA	CDS	Probable serine protease PepA (serine proteinase) (MTB32A)		+	151135	151140	151148	152215			TU0084	intermediary metabolism and respiration
Rv0126	treS	CDS	Trehalose synthase TreS		+	152317	152319	152324	154129			TU0085	virulence, detoxification, adaptation
Rv0127	mak	CDS	Maltokinase Mak		+	154216	154221	154232	155599			TU0086	virulence, detoxification, adaptation
Rv0128	Rv0128	CDS	Probable conserved transmembrane protein		+			155667	156446			TU0087	cell wall and cell processes
Rv0129c	fbpC	CDS	Secreted antigen 85-C FbpC (85C) (antigen 85 complex C) (AG58C) (mycolyl transferase 85C) (fibronectin-binding protein C)		-			156578	157600	Predicted to be in the RelA|Rv2583c regulon (See Dahl et al., 2003).		TU0088	lipid metabolism
Rv0130	htdZ	CDS	Probable 3-hydroxyl-thioester dehydratase		+			157847	158302			TU0089	intermediary metabolism and respiration
Rv0131c	fadE1	CDS	Probable acyl-CoA dehydrogenase FadE1		-			158315	159658			TU0090	lipid metabolism
Rv0132c	fgd2	CDS	Putative F420-dependent glucose-6-phosphate dehydrogenase Fgd2		-			159700	160782			TU0091	intermediary metabolism and respiration
Rv0133	Rv0133	CDS	GCN5-related N-acetyltransferase		+			160869	161474			TU0092	intermediary metabolism and respiration
Rv0134	ephF	CDS	Possible epoxide hydrolase EphF (epoxide hydratase) (arene-oxide hydratase)		+			161771	162673			TU0093	virulence, detoxification, adaptation
Rv0135c	Rv0135c	CDS	Possible transcriptional regulatory protein		-			162644	163249			TU0094	regulatory proteins
Rv0136	cyp138	CDS	Probable cytochrome P450 138 Cyp138		+			163366	164691			TU0095	intermediary metabolism and respiration
Rv0137c	msrA	CDS	Probable peptide methionine sulfoxide reductase MsrA (protein-methionine-S-oxide reductase) (peptide met(O) reductase)		-			164712	165260			TU0096	intermediary metabolism and respiration
Rv0138	Rv0138	CDS	Conserved hypothetical protein		+			165323	165826	Predicted to be in the KstR|Rv3574 regulon (See Kendall et al., 2007).		TU0097	conserved hypotheticals	Prediction based on GO and InterPro: intermediary metabolism and respiration (See Mazandu and Mulder, 2012)
Rv0139	Rv0139	CDS	Possible oxidoreductase		+			165827	166849	Predicted to be in the KstR|Rv3574 regulon (See Kendall et al., 2007).		TU0097	intermediary metabolism and respiration
Rv0140	Rv0140	CDS	Conserved protein		+			166910	167290			TU0098	conserved hypotheticals	Prediction based on GO and InterPro: intermediary metabolism and respiration (See Mazandu and Mulder, 2012)
Rv0141c	Rv0141c	CDS	Unknown protein		-			167271	167681	Predicted to be in the RelA|Rv2583c regulon (See Dahl et al., 2003).		TU0099	conserved hypotheticals
Rv0142	Rv0142	CDS	Conserved hypothetical protein		+			167711	168637			TU0100	conserved hypotheticals	Prediction based on GO and InterPro: cell wall and cell processes (See Mazandu and Mulder, 2012)
Rv0143c	Rv0143c	CDS	Probable conserved transmembrane protein		-			168704	170182			TU0101	cell wall and cell processes
Rv0144	Rv0144	CDS	Probable transcriptional regulatory protein (possibly TetR-family)		+			170284	171126	Predicted to be in the RelA|Rv2583c regulon (See Dahl et al., 2003).		TU0102	regulatory proteins
Rv0145	Rv0145	CDS	Possible S-adenosylmethionine-dependent methyltransferase		+			171215	172168	ChIP-PCR and EMSA indicate Crp|Rv3676 binds to the intergenic upstream region (See Bai et al., 2007).		TU0103	lipid metabolism
Rv0146	Rv0146	CDS	Possible S-adenosylmethionine-dependent methyltransferase		+			172211	173143			TU0104	lipid metabolism
Rv0147	Rv0147	CDS	Probable aldehyde dehydrogenase (NAD+) dependent		+			173238	174758			TU0105	intermediary metabolism and respiration
Rv0148	Rv0148	CDS	Probable short-chain type dehydrogenase/reductase		+	174824	174828	174833	175693			TU0106	intermediary metabolism and respiration
Rv0149	Rv0149	CDS	Possible quinone oxidoreductase (NADPH:quinone oxidoreductase) (zeta-crystallin)		+			175700	176668			TU0106	intermediary metabolism and respiration
Rv0150c	Rv0150c	CDS	Conserved hypothetical protein		-			176665	176952			TU0107	conserved hypotheticals
Rv0151c	PE1	CDS	PE family protein PE1		-			177543	179309			TU0108	PE/PPE
Rv0152c	PE2	CDS	PE family protein PE2		-			179319	180896			TU0108	PE/PPE
Rv0153c	ptbB	CDS	Phosphotyrosine protein phosphatase PTPB (protein-tyrosine-phosphatase) (PTPase)		-			181155	181985			TU0109	regulatory proteins
Rv0154c	fadE2	CDS	Probable acyl-CoA dehydrogenase FadE2		-			181987	183198			TU0109	lipid metabolism
Rv0155	pntAa	CDS	Probable NAD(P) transhydrogenase (subunit alpha) PntAa [first part; catalytic part] (pyridine nucleotide transhydrogenase subunit alpha) (nicotinamide nucleotide transhydrogenase subunit alpha)		+			183622	184722			TU0110	intermediary metabolism and respiration
Rv0156	pntAb	CDS	Probable NAD(P) transhydrogenase (subunit alpha) PntAb [second part; integral membrane protein] (pyridine nucleotide transhydrogenase subunit alpha) (nicotinamide nucleotide transhydrogenase subunit alpha)		+			184723	185055			TU0110	intermediary metabolism and respiration
Rv0157	pntB	CDS	Probable NAD(P) transhydrogenase (subunit beta) PntB [integral membrane protein] (pyridine nucleotide transhydrogenase subunit beta) (nicotinamide nucleotide transhydrogenase subunit beta)		+			185052	186479			TU0110	intermediary metabolism and respiration
Rv0157A	Rv0157A	CDS	Conserved protein		-	186629	186632	186495	186623			TU0111	conserved hypotheticals
Rv0158	Rv0158	CDS	Probable transcriptional regulatory protein (possibly TetR-family)		+			186785	187429			TU0112	regulatory proteins
Rv0159c	PE3	CDS	PE family protein PE3		-	188845	188849	187433	188839			TU0113	PE/PPE
Rv0160c	PE4	CDS	PE family protein PE4		-	190447	190451	188931	190439			TU0114	PE/PPE
Rv0161	Rv0161	CDS	Possible oxidoreductase		+			190607	191956			TU0115	intermediary metabolism and respiration
Rv0162c	adhE1	CDS	Probable zinc-type alcohol dehydrogenase (E subunit) AdhE1		-	3406275	3406278	191984	193135	Predicted to be in the KstR|Rv3574 regulon (See Kendall et al., 2007).		TU0116	intermediary metabolism and respiration
Rv0163	Rv0163	CDS	Conserved protein		+			193117	193572			TU0117	conserved hypotheticals
Rv0164	TB18.5	CDS	Conserved protein TB18.5		+			193626	194111			TU0118	conserved hypotheticals	Prediction based on GO and InterPro: intermediary metabolism and respiration (See Mazandu and Mulder, 2012)
Rv0165c	mce1R	CDS	Probable transcriptional regulatory protein Mce1R (probably GntR-family)		-	194946	194948	194144	194815			TU0119	regulatory proteins
Rv0166	fadD5	CDS	Probable fatty-acid-CoA ligase FadD5 (fatty-acid-CoA synthetase) (fatty-acid-CoA synthase)		+	194980	194984	194993	196657		Rv0166 and Rv0167 are co-transcribed, by RT-PCR (See Casali et al., 2006).	TU0120	lipid metabolism
Rv0167	yrbE1A	CDS	Conserved integral membrane protein YrbE1A		+	196852	196855	196861	197658		Rv0166 and Rv0167, Rv0167 and Rv0168 are co-transcribed, by RT-PCR (See Casali et al., 2006).	TU0121	virulence, detoxification, adaptation
Rv0168	yrbE1B	CDS	Conserved integral membrane protein YrbE1B		+			197660	198529		Rv0167 and Rv0168, Rv0168 and Rv0169 are co-transcribed, by RT-PCR (See Casali et al., 2006).	TU0121	virulence, detoxification, adaptation
Rv0169	mce1A	CDS	Mce-family protein Mce1A		+			198534	199898		Rv0168 and Rv0169, Rv0169 and Rv0170 are co-transcribed, by RT-PCR (See Casali et al., 2006).	TU0121	virulence, detoxification, adaptation
Rv0170	mce1B	CDS	Mce-family protein Mce1B		+			199895	200935		Rv0169 and Rv0170, Rv0170 and Rv0171 are co-transcribed, by RT-PCR (See Casali et al., 2006).	TU0121	virulence, detoxification, adaptation
